 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)	Y(IJ)	X(FITS)	Y(FITS)	Source-Sky	Source_Error	Source_SNR	Peak	Mean	Sky/Pixel	Width	X-Width	Y-Width	Angle	Roundness
46	pulsar-146.fit	46.000000	0.000000	56941.433105	2456941.433105	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2075.646237	2419.746138	0.857795	2023.000000	2000.070619	1999.165804	34.605826	30.921214	38.290438	64.430310	0.887377
47	pulsar-147.fit	47.000000	0.000000	56941.433116	2456941.433116	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2047.835280	2419.744033	0.846302	2114.000000	2000.064516	1999.171824	36.534708	32.138879	40.930537	79.501271	0.935445
48	pulsar-148.fit	48.000000	0.000000	56941.433128	2456941.433128	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1486.889239	2421.594447	0.614012	2025.000000	1999.816914	1999.168749	32.836848	32.765263	32.908434	45.220408	0.678837
49	pulsar-149.fit	49.000000	0.000000	56941.433139	2456941.433139	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1594.233043	2421.089631	0.658477	2022.000000	1999.678727	1998.983769	36.846500	34.130244	39.562756	281.578925	0.974563
50	pulsar-150.fit	50.000000	0.000000	56941.433163	2456941.433163	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	4129913.985340	3163.071277	1305.665799	9427.000000	3807.882738	2007.571497	24.312525	22.874177	25.750873	77.069913	0.982831
51	pulsar-151.fit	51.000000	0.000000	56941.433174	2456941.433174	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2105.612993	2420.042435	0.870073	2021.000000	2000.146033	1999.228155	31.937006	27.638155	36.235858	58.919067	0.679379
52	pulsar-152.fit	52.000000	0.000000	56941.433186	2456941.433186	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1593.656419	2418.901828	0.658835	2024.000000	1999.772886	1999.078179	31.800812	22.061424	41.540201	69.905634	0.462628
53	pulsar-153.fit	53.000000	0.000000	56941.433197	2456941.433197	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2365.792505	2419.967337	0.977613	2022.000000	2000.150828	1999.119532	33.381252	31.643655	35.118850	285.392044	0.985395
54	pulsar-154.fit	54.000000	0.000000	56941.433209	2456941.433209	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2608.238806	2419.808445	1.077870	2023.000000	2000.380122	1999.243139	34.235377	29.986473	38.484280	287.968809	0.908844
55	pulsar-155.fit	55.000000	0.000000	56941.433220	2456941.433220	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	4229933.350995	3178.339914	1330.862483	9736.000000	3851.431561	2007.519899	24.314464	22.878056	25.750872	77.117002	0.982907
56	pulsar-156.fit	56.000000	0.000000	56941.433244	2456941.433244	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1764.611762	2423.343759	0.728172	2023.000000	2000.237140	1999.467911	35.901100	30.891946	40.910254	89.061175	0.924995
57	pulsar-157.fit	57.000000	0.000000	56941.433255	2456941.433255	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	3858676.897430	3121.447151	1236.182037	9021.000000	3689.051439	2006.977813	24.303013	22.882757	25.723270	76.987235	0.983197
58	pulsar-158.fit	58.000000	0.000000	56941.433267	2456941.433267	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1106.231118	2417.398985	0.457612	2026.000000	2000.025719	1999.543491	29.982987	34.985995	24.979978	338.299891	0.800307
59	pulsar-159.fit	59.000000	0.000000	56941.433278	2456941.433278	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2476.949181	2417.956800	1.024398	2026.000000	2000.152572	1999.072821	35.542487	34.785343	36.299632	303.589067	0.987945
